season_label,year,class,district,round,game_num,date_time,tournament_id,team1,team1_id,team1_seed,team1_score,team1_winner,team2,team2_id,team2_seed,team2_score,team2_winner,margin,champion,champion_id,incomplete
2012-2013,2012,2,13,Semifinals,3,May 13 @7:15 PM,97842,Warrensburg,218,2,3,True,Harrisonville,73,3,2,False,1,Grain Valley,304,False
2012-2013,2012,2,14,Final,1,May 15 @6:00 PM,97272,Notre Dame de Sion,536,,9,True,Raytown South,179,,0,False,9,Notre Dame de Sion,536,False
2012-2013,2012,2,14,Semifinals,2,May 13 @8:00 PM,97272,Notre Dame de Sion,536,1,13,True,Northeast (Kansas City) HS,143,,0,False,13,Notre Dame de Sion,536,False
2012-2013,2012,2,14,Semifinals,3,May 11 @12:01 PM,97272,Raytown South,179,2,3,True,Grandview,237,3,1,False,2,Notre Dame de Sion,536,False
2012-2013,2012,2,14,Quarterfinals,5,May 11 @10:00 AM,97272,Northeast (Kansas City) HS,143,4,1,True,East (Kansas City),809,5,0,False,1,Notre Dame de Sion,536,False
2012-2013,2012,2,15,Final,1,May 15 @4:30 PM,97554,Kearney,329,,5,True,Liberty North,907,,0,False,5,Kearney,329,False
2012-2013,2012,2,15,Semifinals,2,May 13 @4:30 PM,97554,Kearney,329,1,10,True,Van Horn,204,4,0,False,10,Kearney,329,False
2012-2013,2012,2,15,Semifinals,3,May 13 @6:30 PM,97554,Excelsior Springs,296,2,0,False,Liberty North,907,3,3,True,3,Kearney,329,False
2012-2013,2012,2,16,Final,1,May 15 @5:00 PM,97650,Smithville,445,,1,True,Platte County,166,,0,False,1,Smithville,445,False
2012-2013,2012,2,16,Semifinals,2,May 13 @5:00 PM,97650,Smithville,445,1,10,True,Savannah,177,,0,False,10,Smithville,445,False
2012-2013,2012,2,16,Semifinals,3,May 13 @7:00 PM,97650,Platte County,166,2,7,True,Lafayette (St. Joseph),102,3,0,False,7,Smithville,445,False
2012-2013,2012,2,16,Quarterfinals,5,May 11 @3:00 PM,97650,Savannah,177,4,2,True,Benton,236,5,0,False,2,Smithville,445,False
2012-2013,2012,3,1,Final,1,May 15 @6:00 PM,97256,Jackson,82,,2,False,Seckman,184,,3,True,1,Seckman,184,False
2012-2013,2012,3,1,Semifinals,2,May 13 @4:30 PM,97256,Jackson,82,1,6,True,Poplar Bluff,167,4,0,False,6,Seckman,184,False
2012-2013,2012,3,1,Semifinals,3,May 13 @6:30 PM,97256,Seckman,184,2,3,True,Northwest (Cedar Hill),144,3,1,False,2,Seckman,184,False
2012-2013,2012,3,2,Final,1,May 16 @6:30 PM,97603,Eureka,56,,2,True,Lafayette (Wildwood),103,,1,False,1,Eureka,56,False
2012-2013,2012,3,2,Semifinals,2,May 14 @4:30 PM,97603,Eureka,56,1,4,True,Marquette,109,,1,False,3,Eureka,56,False
2012-2013,2012,3,2,Semifinals,3,May 14 @6:30 PM,97603,Rockwood Summit,187,2,0,False,Lafayette (Wildwood),103,3,1,True,1,Eureka,56,False
2012-2013,2012,3,2,Quarterfinals,5,May 13 @6:00 PM,97603,Marquette,109,4,4,True,Parkway South,162,5,0,False,4,Eureka,56,False
2012-2013,2012,3,3,Final,1,May 16 @6:00 PM,97616,Hazelwood Central,76,,1,True,McCluer North,116,,0,False,1,Hazelwood Central,76,False
2012-2013,2012,3,3,Semifinals,2,May 14 @6:00 PM,97616,Hazelwood Central,76,1,10,True,Riverview Gardens,185,,0,False,10,Hazelwood Central,76,False
2012-2013,2012,3,3,Semifinals,3,May 14 @4:00 PM,97616,McCluer North,116,2,3,True,McCluer,113,3,0,False,3,Hazelwood Central,76,False
2012-2013,2012,3,3,Quarterfinals,5,May 11 @11:00 AM,97616,Hazelwood East,78,4,0,False,Riverview Gardens,185,5,1,True,1,Hazelwood Central,76,False
2012-2013,2012,3,4,Final,1,May 17 @5:00 PM,97562,Pattonville,165,,3,True,Parkway Central,160,,0,False,3,Pattonville,165,False
2012-2013,2012,3,4,Semifinals,2,May 14 @6:00 PM,97562,Pattonville,165,1,6,True,Ritenour,182,,1,False,5,Pattonville,165,False
2012-2013,2012,3,4,Semifinals,3,May 14 @4:00 PM,97562,Parkway Central,160,2,2,True,Hazelwood West,81,3,0,False,2,Pattonville,165,False
