filename,status,output,bg_fraction,slug
KIPP St Louis Logo.jpg,processed,matched/kipp-st-louis-sr.png,0.426,kipp-st-louis-sr
Kairos Charter Logo.jpg,processed_no_slug,needs_review/UNMATCHED_Kairos_Charter_Logo.png,0.179,
Kearney Logo.jpg,processed,matched/kearney.png,0.302,kearney
Kelly Logo.jpg,processed,matched/kelly.png,0.537,kelly
Kennett Logo.jpg,processed,matched/kennett.png,0.216,kennett
Keytesville Logo.jpg,processed,matched/keytesville.png,0.501,keytesville
Kickapoo Logo.jpg,processed,matched/kickapoo.png,0.229,kickapoo
King City Logo.jpg,processed,matched/king-city.png,0.399,king-city
Kingston Logo.jpg,processed,matched/kingston.png,0.687,kingston
Kingsville Logo.jpg,processed,matched/kingsville.png,0.155,kingsville
Kirksville Logo.jpg,processed,matched/kirksville.png,0.625,kirksville
Kirkwood Logo.jpg,processed,matched/kirkwood.png,0.265,kirkwood
Knob Noster Logo.jpg,processed,matched/knob-noster.png,0.516,knob-noster
Knox County Logo.jpg,processed,matched/knox-county.png,0.673,knox-county
Koshkonong Lgoo.jpg,processed,matched/koshkonong.png,0.471,koshkonong
La Monte Logo.jpg,processed,matched/la-monte.png,0.645,la-monte
La Plata Logo.jpg,processed,matched/la-plata.png,0.624,la-plata
Ladue Horton Watkins Logo.jpg,processed,matched/ladue-horton-watkins.png,0.538,ladue-horton-watkins
Lafayette County Logo.jpg,processed,matched/lafayette-county.png,0.655,lafayette-county
Lafayette St Joseph Logo.jpg,processed,matched/lafayette-st-joseph.png,0.483,lafayette-st-joseph
Lafayette Wildwood Logo.jpg,processed,matched/lafayette-wildwood.png,0.606,lafayette-wildwood
Lakeland Logo.jpg,processed,matched/lakeland.png,0.672,lakeland
Lamar Logo.jpg,processed,matched/lamar.png,0.636,lamar
Laquey Logo.jpg,processed,matched/laquey.png,0.354,laquey
Lathrop Logo.jpg,processed,matched/lathrop.png,0.596,lathrop
Lawson Logo.jpg,processed,matched/lawson.png,0.591,lawson
Lebanon Logo.jpg,processed,matched/lebanon.png,0.374,lebanon
Lees Summit Logo.jpg,processed,matched/lees-summit.png,0.285,lees-summit
Lees Summit North Logo.jpg,processed,matched/lees-summit-north.png,0.544,lees-summit-north
Lees Summit West Logo.jpg,processed,matched/lees-summit-west.png,0.399,lees-summit-west
Leeton Logo.jpg,processed,matched/leeton.png,0.418,leeton
Leopold Logo.jpg,processed,matched/leopold.png,0.304,leopold
Lesterville Logo.jpg,processed,matched/lesterville.png,0.498,lesterville
Lexington Logo.jpg,bg_removal_uncertain,,0.011,lexington
Liberal Logo.jpg,processed,matched/liberal.png,0.978,liberal
Liberty Logo.jpg,processed,matched/liberty.png,0.47,liberty
Liberty Mountain View.jpg,processed,matched/liberty-mountain-view.png,0.549,liberty-mountain-view
Liberty North Logo.jpg,processed,matched/liberty-north.png,0.332,liberty-north
Liberty Wentzville Logo.jpg,processed,matched/liberty-wentzville.png,0.212,liberty-wentzville
Licking Logo.jpg,processed,matched/licking.png,0.324,licking
Lift for Life Logo.jpg,processed,matched/lift-for-life-academy-charter.png,0.528,lift-for-life-academy-charter
Lincoln College Prep Logo.jpg,processed,matched/lincoln-college-prep.png,0.482,lincoln-college-prep
Lincoln Logo.jpg,processed,matched/lincoln.png,0.466,lincoln
Lindbergh Logo.jpg,processed,matched/lindbergh.png,0.543,lindbergh
Linn County Logo.jpg,processed,matched/linn-county.png,0.652,linn-county
Linn Logo.jpg,processed,matched/linn.png,0.774,linn
Lockwood Logo.jpg,processed,matched/lockwood.png,0.649,lockwood
